NAME, LIBRARY, VERSION, COMPILER, FLAGS, MODE, INPUT, INPUT-SIZE, FUNCTION, MEDIAN, MAD, RELATIVE, INTENSITY
ethSIFT avx gcc notree rdtsc Octaves, ethSIFT, avx, gcc, notree, rdtsc, auto-240p, 240, Octaves, 107338.0, 323.207, 0.0038927868, 0.0
ethSIFT avx gcc notree rdtsc GaussianKernelGeneration, ethSIFT, avx, gcc, notree, rdtsc, auto-240p, 240, GaussianKernelGeneration, 6252.0, 418.093, 0.00022673894, 0.0
ethSIFT avx gcc notree rdtsc GaussianPyramid, ethSIFT, avx, gcc, notree, rdtsc, auto-240p, 240, GaussianPyramid, 4.321638, -0.0031285286, 0.00000024608062, 4.0669374
ethSIFT avx gcc notree rdtsc DOGPyramid, ethSIFT, avx, gcc, notree, rdtsc, auto-240p, 240, DOGPyramid, 1.3875822, -0.0050919056, 0.00000008128788, 3.6348531
ethSIFT avx gcc notree rdtsc GradientAndRotationPyramids, ethSIFT, avx, gcc, notree, rdtsc, auto-240p, 240, GradientAndRotationPyramids, 3.8731477, -0.0031428337, 0.00000024508802, 13.672094
ethSIFT avx gcc notree rdtsc Histogram, ethSIFT, avx, gcc, notree, rdtsc, auto-240p, 240, Histogram, 0.7623163, -0.0027285218, 0.000000048276263, 2.5614655
ethSIFT avx gcc notree rdtsc ExtremaRefinement, ethSIFT, avx, gcc, notree, rdtsc, auto-240p, 240, ExtremaRefinement, 0.90625, -0.04012847, 0.000000057392047, 1.0807453
ethSIFT avx gcc notree rdtsc KeypointDetection, ethSIFT, avx, gcc, notree, rdtsc, auto-240p, 240, KeypointDetection, 0.17690353, -0.000505954, 0.000000014914736, 1.0536155
ethSIFT avx gcc notree rdtsc ExtractDescriptor, ethSIFT, avx, gcc, notree, rdtsc, auto-240p, 240, ExtractDescriptor, 0.53919476, -0.00022113323, 0.04505668, 2.6122131
ethSIFT avx gcc notree rdtsc MeasureFull, ethSIFT, avx, gcc, notree, rdtsc, auto-240p, 240, MeasureFull, 2.001644, -0.0058847666, 0.16726317, 3.9261184
ethSIFT avx gcc notree rdtsc MeasureFullNoAlloc, ethSIFT, avx, gcc, notree, rdtsc, auto-240p, 240, MeasureFullNoAlloc, 27930968.0, 66924.6, 2333992.8, 0.0
ethSIFT avx icc avx rdtsc Downscale, ethSIFT, avx, icc, avx, rdtsc, auto-240p, 240, Downscale, 0.0, 0.0, 0.0, 0.0
ethSIFT avx icc avx rdtsc Convolution, ethSIFT, avx, icc, avx, rdtsc, auto-240p, 240, Convolution, 3.6472204, -0.003578186, 0.00000014566251, 3.372131
ethSIFT avx icc avx rdtsc Octaves, ethSIFT, avx, icc, avx, rdtsc, auto-240p, 240, Octaves, 94844.0, 329.137, 0.0037878752, 0.0
ethSIFT avx icc avx rdtsc GaussianKernelGeneration, ethSIFT, avx, icc, avx, rdtsc, auto-240p, 240, GaussianKernelGeneration, 4854.0, 406.232, 0.00019385882, 0.0
ethSIFT avx icc avx rdtsc GaussianPyramid, ethSIFT, avx, icc, avx, rdtsc, auto-240p, 240, GaussianPyramid, 4.2199473, -0.03271532, 0.00000028540347, 4.0669374
ethSIFT avx icc avx rdtsc DOGPyramid, ethSIFT, avx, icc, avx, rdtsc, auto-240p, 240, DOGPyramid, 1.3332031, -0.0048775673, 0.00000009340125, 3.6348531
ethSIFT avx icc avx rdtsc GradientAndRotationPyramids, ethSIFT, avx, icc, avx, rdtsc, auto-240p, 240, GradientAndRotationPyramids, 3.9245148, -0.0046482086, 0.0000003013381, 13.672094
ethSIFT avx icc avx rdtsc Histogram, ethSIFT, avx, icc, avx, rdtsc, auto-240p, 240, Histogram, 0.85174155, -0.002272904, 0.000000065455424, 2.5614655
ethSIFT avx icc avx rdtsc ExtremaRefinement, ethSIFT, avx, icc, avx, rdtsc, auto-240p, 240, ExtremaRefinement, 0.48603353, -0.040584624, 0.00000003735218, 1.0807453
ethSIFT avx icc avx rdtsc KeypointDetection, ethSIFT, avx, icc, avx, rdtsc, auto-240p, 240, KeypointDetection, 0.17255993, -0.0005902499, 0.00000001920801, 1.0536155
ethSIFT avx icc avx rdtsc ExtractDescriptor, ethSIFT, avx, icc, avx, rdtsc, auto-240p, 240, ExtractDescriptor, 0.7118837, -0.001693368, 0.060845368, 2.6122131
ethSIFT avx icc avx rdtsc MeasureFull, ethSIFT, avx, icc, avx, rdtsc, auto-240p, 240, MeasureFull, 2.2165358, -0.006532669, 0.18944938, 3.9261184
ethSIFT avx icc avx rdtsc MeasureFullNoAlloc, ethSIFT, avx, icc, avx, rdtsc, auto-240p, 240, MeasureFullNoAlloc, 25305062.0, 59265.5, 2162847.3, 0.0
ethSIFT avx icc fastmath rdtsc Downscale, ethSIFT, avx, icc, fastmath, rdtsc, auto-240p, 240, Downscale, 0.0, 0.0, 0.0, 0.0
ethSIFT avx icc fastmath rdtsc Convolution, ethSIFT, avx, icc, fastmath, rdtsc, auto-240p, 240, Convolution, 3.7117212, -0.0047664642, 0.00000013200807, 3.372131
ethSIFT avx icc fastmath rdtsc Octaves, ethSIFT, avx, icc, fastmath, rdtsc, auto-240p, 240, Octaves, 107594.0, 447.745, 0.0038266012, 0.0
ethSIFT avx icc fastmath rdtsc GaussianKernelGeneration, ethSIFT, avx, icc, fastmath, rdtsc, auto-240p, 240, GaussianKernelGeneration, 5064.0, 670.135, 0.00018010213, 0.0
ethSIFT avx icc fastmath rdtsc GaussianPyramid, ethSIFT, avx, icc, fastmath, rdtsc, auto-240p, 240, GaussianPyramid, 4.3124504, -0.009707451, 0.0000002384629, 4.0669374
ethSIFT avx icc fastmath rdtsc DOGPyramid, ethSIFT, avx, icc, fastmath, rdtsc, auto-240p, 240, DOGPyramid, 1.3894747, -0.012566686, 0.00000007897824, 3.6348531
ethSIFT avx icc fastmath rdtsc GradientAndRotationPyramids, ethSIFT, avx, icc, fastmath, rdtsc, auto-240p, 240, GradientAndRotationPyramids, 3.9077623, -0.004212618, 0.0000002391902, 13.672094
ethSIFT avx icc fastmath rdtsc Histogram, ethSIFT, avx, icc, fastmath, rdtsc, auto-240p, 240, Histogram, 0.7736885, -0.0020629168, 0.000000047392085, 2.5614655
ethSIFT avx icc fastmath rdtsc ExtremaRefinement, ethSIFT, avx, icc, fastmath, rdtsc, auto-240p, 240, ExtremaRefinement, 0.96666664, -0.030832589, 0.000000059213555, 1.0807453
ethSIFT avx icc fastmath rdtsc KeypointDetection, ethSIFT, avx, icc, fastmath, rdtsc, auto-240p, 240, KeypointDetection, 0.15405574, -0.00027404726, 0.000000013041444, 1.0536155
ethSIFT avx icc fastmath rdtsc ExtractDescriptor, ethSIFT, avx, icc, fastmath, rdtsc, auto-240p, 240, ExtractDescriptor, 0.5413952, -0.0011273623, 0.044945873, 2.6122131
ethSIFT avx icc fastmath rdtsc MeasureFull, ethSIFT, avx, icc, fastmath, rdtsc, auto-240p, 240, MeasureFull, 1.9710836, -0.004047513, 0.16363661, 3.9261184
